address,coordinates,demand
"Kluang Meteorological Office, Kluang, Johor","2.0152611863635235, 103.3170412515875",4800
"Jalan Mengkibol Health Clinic,  Kluang, Johor","2.007137483176539, 103.32188085135122",2261
"Kluang Country Club, Jalan Mengkibol, Taman Sunrise, 86000 Kluang, Johor","2.0154603763554824, 103.31821000406603",2364
"Kuarters Guru SMK Jalan Mengkibol, Jalan Mengkibol, 86000, Kluang, Johor","1.9956843283175765, 103.32181389897033",1878
"SMK Jalan Mengkibol, Jalan Mengkibol, 86000, Kluang, Johor","2.0147728017706523, 103.31992489092632",1991
"Kolej Vokasional Kluang, Jalan Mengkibol, 86000, Kluang, Johor","2.0004774589518455, 103.32148389339156",1139
"Wisma Belia Bell, Jalan Mengkibol, 86000, Kluang, Johor","2.0158456650371748, 103.31985514850591",1139
"SMK Seri Sembrong, Jalan Mersing, 86000, Kluang, Johor","2.095384603650947, 103.38620010942873",556
"Pusat Latihan Jabatan Kemajuan Orang Asli Malaysia, Kluang, 86000","2.04946623584458, 103.34547501162572",1417
"Kompleks Penjara Kg Gajah, 86000, Kluang Johor","2.097503459528254, 103.39100363432968",1376
"Pusat Latihan Pertahanan Awam Wilayah Selatan (PULAPAS),86000, Kluang, Johor","2.0992947698563054, 103.40133690979215",959
"Klinik Desa Kahang Batu 28, Jalan Mersing, 86000, Kluang, Johor","2.2673117268980527, 103.60948210853526",1027
"SMK Seri Perdana, 4, J191, Kampung Pelimbang, 86000 Kluang, Johor","2.058297553760684, 103.31220851783213",666
"Klinik Desa Niyor, Jalan Kampung Melayu Niyor, Kampung Melayu Niyor, 86000, Kluang, Johor	","2.09168236086826, 103.27900204985006",1985
"Sekolah Kebangsaan Kampung Melayu Niyor, Kampung Melayu Niyor, Johor, 86000 Kluang","2.0911494148029277, 103.27758065325766",1522
"Pejabat Agama Islam Daerah Kluang, Aras 2, Jalan Pejabat Kerajaan, 86000, Kluang, Johor, 86000 Kluang","2.024565743575415, 103.31699344794607",1511
"Pentadbiran Tanah, Pejabat Tanah Kluang, 86000, Kluang, Johor","2.0252327136949853, 103.3169249946582",1797
"Kluang Courthouse, Jalan Pejabat Kerajaan 2, Kompleks Pejabat-pejabat Kerajaan, 86000 Kluang, Johor","2.0257470246548746, 103.31621109165084",974
"Perpustakaan Awam, Majlis Perbandaran Kluang, 86000, Kluang, Johor","2.026870763475171, 103.31637141189552",2347
"Pusat Perniagaan Tasik, Jalan Tasik 1, 86000, Kluang, Johor","2.022664934192751, 103.31218838264913",1202
"SK Sultan Sir Ibrahim, Jalan Mersing, 86000 Kluang, Johor","2.065888463699363, 103.36435735921982",2799
"Sekolah Agama Bandar Kluang, Jalan Hospital, Taman Kem Mahkota, 86000, Kluang, Johor","2.0327596747830023, 103.31691336357054",3626
"Pasar Awam, Jalan Berangan, Kawasan Pasar, 86000, Kluang, Johor","2.041796844801037, 103.32158317432899",2901
"Kuarters Kolej Jururawat Kluang, Jalan Hospital, Pusat Bandar, 86000, Kluang, Johor","2.038328908609149, 103.31431808080252",2289
"SMK Tinggi Kluang, Jalan Sekolah, Pusat Bandar, 86000, Kluang, Johor","2.0303816895368314, 103.31565670837568",2950
"SK Lelaki Bandar, Jalan Sekolah, Pusat Bandar, 86000, Kluang, Johor","2.028761851740725, 103.31291228214268",3887
"SMK Canossian Convent, Jalan Batu Pahat, 86000, Kluang, Johor","2.0224069576601025, 103.30450667248404",1154
"Flat Haji Manan, Kampung Masjid Lama, 86000, Kluang, Johor","2.0367456829990473, 103.3183089215497",3211
"Flat Taman Sri Kluang, Jalan 3/25, Taman Sri Kluang, 86000, Kluang, Johor","2.0375927817149693, 103.29704440058055",1797
"Rumah Pangsa Kerajaan, Taman Bersatu, 86000 Kluang, Johor","2.0195962960320553, 103.30882030802782",1754
